Country,Region,Year,VALUE
Lesotho,Africa,1993,35.2695709
Lithuania,Europe,1993,10.98051803
Latvia,Europe,1993,14.66526254
"China, Macao Special Administrative Region",Asia,1993,3.151984765
Morocco,Africa,1993,0.573492769
Republic of Moldova,Europe,1993,8.612077961
Mexico,Americas,1993,18.51158394
Malta,Europe,1993,1.865465307
Montserrat,Americas,1993,0
Mauritius,Africa,1993,1.853074162
Malaysia,Asia,1993,1.889756141
Nicaragua,Americas,1993,16.83349574
Netherlands (Kingdom of the),Europe,1993,1.258926741
Norway,Europe,1993,0.881233802
New Zealand,Oceania,1993,1.159006148
Panama,Americas,1993,11.81208054
Philippines,Asia,1993,11.73972476
Poland,Europe,1993,2.36173435
Puerto Rico,Americas,1993,26.17271744
Portugal,Europe,1993,1.399618944
Qatar,Asia,1993,0.822976686
Romania,Europe,1993,3.243601611
Russian Federation,Europe,1993,30.2624756
Singapore,Asia,1993,1.739583718
Sao Tome and Principe,Africa,1993,6.241125899
Slovakia,Europe,1993,2.574287937
Slovenia,Europe,1993,1.305427314
Sweden,Europe,1993,1.243751731
Eswatini,Africa,1993,18.24949578
Turks and Caicos Islands,Americas,1993,7.29687329
Thailand,Asia,1993,9.488764486
Tajikistan,Asia,1993,22.80595039
Turkmenistan,Asia,1993,8.23474173
Ukraine,Europe,1993,7.138109164
United States of America,Americas,1993,9.477557506
Uzbekistan,Asia,1993,5.157132251
Saint Vincent and the Grenadines,Americas,1993,12.32166589
Venezuela (Bolivarian Republic of),Americas,1993,20.27196169
British Virgin Islands,Americas,1993,0
Zambia,Africa,1993,9.007464468
Anguilla,Americas,1994,0
Albania,Europe,1994,3.400122465
Armenia,Asia,1994,4.653625055
Antigua and Barbuda,Americas,1994,7.454675573
Australia,Oceania,1994,1.797197091
Austria,Europe,1994,1.108959701
Azerbaijan,Asia,1994,6.379540469
Belgium,Europe,1994,1.191755199
Bulgaria,Europe,1994,5.755418575
Bahamas,Americas,1994,17.68728539
Belarus,Europe,1994,7.913782726
Bermuda,Americas,1994,10.15030916
Brazil,Americas,1994,18.54349882
Barbados,Americas,1994,7.64200274
Bhutan,Asia,1994,3.836860527
Canada,Americas,1994,2.056506377
Switzerland,Europe,1994,1.144240366
Colombia,Americas,1994,76.72091321
Costa Rica,Americas,1994,5.216167137
